,date_performed,bioassay_performed,biological_rep_number,technical_rep_number,performed_by,kd_scored_by,Mort_ScoredBy,X48hr_scored_by,X72hr_scored_by,mosquito_wet_weights_g,mosquito_dry_weights_g,mosquito_wing_lengths,start_exposure_temperature_c,start_exposure_humidity_percentage,end_exposure_temperature_c,end_exposure_humidity_percentage,X24_hour_temperature_c,Mort_Humid_Perc,X48_hour_temperature_c,X48_hour_humidity_percentage,X72_hour_temperature_c,X72_hour_humidity_percentage,colony,insecticide,concentration_percentage,concentration_mgm2,concentration_ugbottle,Knockdown_60min,Mortality_24hr,X48_hour_dead,X72_hour_dead,total_mosquitoes,data_input_checked,bioassay_notes,RawMortProp,StartHumidProp,EndHumidProp,MortHumidProp,HumidDelta,Alive,Year,bottles_coated_by
12,26/01/2022,cdc bottle,1,1,gpr,jag,jag,NA,NA,NA,0.0085,2.943,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,permethrin,NA,NA,12,25,25,NA,NA,25,NA,NA,1,0.787,0.782,NA,0.5,0,2022,Not Assessed
13,26/01/2022,cdc bottle,1,2,gpr,jag,jag,NA,NA,NA,0.0085,2.943,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,permethrin,NA,NA,12,26,26,NA,NA,26,NA,NA,1,0.787,0.782,NA,0.5,0,2022,Not Assessed
14,26/01/2022,cdc bottle,1,3,gpr,jag,jag,NA,NA,NA,0.0085,2.943,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,permethrin,NA,NA,12,27,27,NA,NA,27,NA,NA,1,0.787,0.782,NA,0.5,0,2022,Not Assessed
15,26/01/2022,cdc bottle,1,4,gpr,jag,jag,NA,NA,NA,0.0085,2.943,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,permethrin,NA,NA,12,26,26,NA,NA,26,NA,NA,1,0.787,0.782,NA,0.5,0,2022,Not Assessed
16,26/01/2022,cdc bottle,1,5,gpr,jag,jag,NA,NA,NA,0.0085,2.943,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,permethrin,NA,NA,12,27,27,NA,NA,27,NA,NA,1,0.787,0.782,NA,0.5,0,2022,Not Assessed
17,26/01/2022,cdc bottle,1,6,gpr,jag,jag,NA,NA,NA,0.0085,2.943,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,permethrin,NA,NA,12,29,29,NA,NA,29,NA,NA,1,0.787,0.782,NA,0.5,0,2022,Not Assessed
18,26/01/2022,cdc bottle,1,7,gpr,jag,jag,NA,NA,NA,0.0085,2.943,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,permethrin,NA,NA,12,25,25,NA,NA,25,NA,NA,1,0.787,0.782,NA,0.5,0,2022,Not Assessed
19,26/01/2022,cdc bottle,1,1,jag,gpr,gpr,NA,NA,0.0287,0.00049,2.9379,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,acetone,NA,NA,negative,1,6,NA,NA,25,NA,NA,0.24,0.787,0.782,NA,0.5,19,2022,Not Assessed
20,26/01/2022,cdc bottle,1,2,jag,gpr,gpr,NA,NA,0.0287,0.00049,2.9379,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,acetone,NA,NA,negative,0,10,NA,NA,24,NA,NA,0.416666667,0.787,0.782,NA,0.5,14,2022,Not Assessed
21,26/01/2022,cdc bottle,1,1,jag,gpr,gpr,NA,NA,0.0287,0.00049,2.9379,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,permethrin,NA,NA,12,26,26,NA,NA,26,NA,NA,1,0.787,0.782,NA,0.5,0,2022,Not Assessed
22,26/01/2022,cdc bottle,1,2,jag,gpr,gpr,NA,NA,0.0287,0.00049,2.9379,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,permethrin,NA,NA,12,25,25,NA,NA,25,NA,NA,1,0.787,0.782,NA,0.5,0,2022,Not Assessed
23,26/01/2022,cdc bottle,1,3,jag,gpr,gpr,NA,NA,0.0287,0.00049,2.9379,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,permethrin,NA,NA,12,17,17,NA,NA,17,NA,NA,1,0.787,0.782,NA,0.5,0,2022,Not Assessed
24,26/01/2022,cdc bottle,1,4,jag,gpr,gpr,NA,NA,0.0287,0.00049,2.9379,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,permethrin,NA,NA,12,23,23,NA,NA,23,NA,NA,1,0.787,0.782,NA,0.5,0,2022,Not Assessed
25,26/01/2022,cdc bottle,1,5,jag,gpr,gpr,NA,NA,0.0287,0.00049,2.9379,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,permethrin,NA,NA,12,17,17,NA,NA,17,NA,NA,1,0.787,0.782,NA,0.5,0,2022,Not Assessed
26,26/01/2022,cdc bottle,1,6,jag,gpr,gpr,NA,NA,0.0287,0.00049,2.9379,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,permethrin,NA,NA,12,20,20,NA,NA,20,NA,NA,1,0.787,0.782,NA,0.5,0,2022,Not Assessed
27,26/01/2022,cdc bottle,1,7,jag,gpr,gpr,NA,NA,0.0287,0.00049,2.9379,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,permethrin,NA,NA,12,25,25,NA,NA,25,NA,NA,1,0.787,0.782,NA,0.5,0,2022,Not Assessed
28,26/01/2022,cdc bottle,1,1,jag,jag,jag,NA,NA,0.0287,0.00049,2.9379,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,acetone,NA,NA,negative,4,6,NA,NA,25,NA,NA,0.24,0.787,0.782,NA,0.5,19,2022,Not Assessed
29,26/01/2022,cdc bottle,1,2,jag,jag,jag,NA,NA,0.0287,0.00049,2.9379,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,acetone,NA,NA,negative,2,10,NA,NA,24,NA,NA,0.416666667,0.787,0.782,NA,0.5,14,2022,Not Assessed
30,26/01/2022,cdc bottle,1,1,jag,jag,jag,NA,NA,0.0287,0.00049,2.9379,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,permethrin,NA,NA,12,26,26,NA,NA,26,NA,NA,1,0.787,0.782,NA,0.5,0,2022,Not Assessed
31,26/01/2022,cdc bottle,1,2,jag,jag,jag,NA,NA,0.0287,0.00049,2.9379,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,permethrin,NA,NA,12,25,25,NA,NA,25,NA,NA,1,0.787,0.782,NA,0.5,0,2022,Not Assessed
32,26/01/2022,cdc bottle,1,3,jag,jag,jag,NA,NA,0.0287,0.00049,2.9379,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,permethrin,NA,NA,12,17,17,NA,NA,17,NA,NA,1,0.787,0.782,NA,0.5,0,2022,Not Assessed
33,26/01/2022,cdc bottle,1,4,jag,jag,jag,NA,NA,0.0287,0.00049,2.9379,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,permethrin,NA,NA,12,23,23,NA,NA,23,NA,NA,1,0.787,0.782,NA,0.5,0,2022,Not Assessed
34,26/01/2022,cdc bottle,1,5,jag,jag,jag,NA,NA,0.0287,0.00049,2.9379,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,permethrin,NA,NA,12,17,17,NA,NA,17,NA,NA,1,0.787,0.782,NA,0.5,0,2022,Not Assessed
35,26/01/2022,cdc bottle,1,6,jag,jag,jag,NA,NA,0.0287,0.00049,2.9379,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,permethrin,NA,NA,12,20,20,NA,NA,20,NA,NA,1,0.787,0.782,NA,0.5,0,2022,Not Assessed
36,26/01/2022,cdc bottle,1,7,jag,jag,jag,NA,NA,0.0287,0.00049,2.9379,26.4,78.7,26.6,78.2,NA,NA,NA,NA,NA,NA,kisumu,permethrin,NA,NA,12,25,25,NA,NA,25,NA,NA,1,0.787,0.782,NA,0.5,0,2022,Not Assessed
37,01/02/2022,cdc bottle,1,1,jag,jag,jag,NA,NA,0.0144,0.00044,2.9216,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,acetone,NA,NA,negative,1,2,NA,NA,23,NA,NA,0.086956522,0.798,0.783,0.801,1.5,21,2022,Not Assessed
38,01/02/2022,cdc bottle,1,1,jag,jag,jag,NA,NA,0.0144,0.00044,2.9216,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,permethrin,NA,NA,0.1,0,0,NA,NA,23,NA,NA,0,0.798,0.783,0.801,1.5,23,2022,Not Assessed
39,01/02/2022,cdc bottle,1,1,jag,jag,jag,NA,NA,0.0144,0.00044,2.9216,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,permethrin,NA,NA,0.5,22,16,NA,NA,22,NA,NA,0.727272727,0.798,0.783,0.801,1.5,6,2022,Not Assessed
40,01/02/2022,cdc bottle,1,1,jag,jag,jag,NA,NA,0.0144,0.00044,2.9216,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,permethrin,NA,NA,1,21,20,NA,NA,21,NA,NA,0.952380952,0.798,0.783,0.801,1.5,1,2022,Not Assessed
41,01/02/2022,cdc bottle,1,1,jag,jag,jag,NA,NA,0.0144,0.00044,2.9216,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,permethrin,NA,NA,2.5,20,20,NA,NA,20,NA,NA,1,0.798,0.783,0.801,1.5,0,2022,Not Assessed
42,01/02/2022,cdc bottle,1,1,jag,jag,jag,NA,NA,0.0144,0.00044,2.9216,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,permethrin,NA,NA,5,23,23,NA,NA,23,NA,NA,1,0.798,0.783,0.801,1.5,0,2022,Not Assessed
43,01/02/2022,cdc bottle,1,1,jag,jag,jag,NA,NA,0.0144,0.00044,2.9216,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,permethrin,NA,NA,7.5,21,21,NA,NA,21,NA,NA,1,0.798,0.783,0.801,1.5,0,2022,Not Assessed
44,01/02/2022,cdc bottle,1,1,jag,jag,jag,NA,NA,0.0144,0.00044,2.9216,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,permethrin,NA,NA,10,19,19,NA,NA,19,NA,NA,1,0.798,0.783,0.801,1.5,0,2022,Not Assessed
45,01/02/2022,cdc bottle,1,1,jag,jag,jag,NA,NA,0.0144,0.00044,2.9216,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,permethrin,NA,NA,12.5,21,21,NA,NA,21,NA,NA,1,0.798,0.783,0.801,1.5,0,2022,Not Assessed
46,01/02/2022,cdc bottle,1,1,jag,gpr,dw,NA,NA,0.0144,0.00044,2.9216,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,acetone,NA,NA,negative,1,2,NA,NA,23,NA,NA,0.086956522,0.798,0.783,0.801,1.5,21,2022,Not Assessed
47,01/02/2022,cdc bottle,1,1,jag,gpr,dw,NA,NA,0.0144,0.00044,2.9216,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,permethrin,NA,NA,0.1,2,1,NA,NA,23,NA,NA,0.043478261,0.798,0.783,0.801,1.5,22,2022,Not Assessed
48,01/02/2022,cdc bottle,1,1,jag,gpr,dw,NA,NA,0.0144,0.00044,2.9216,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,permethrin,NA,NA,0.5,22,15,NA,NA,22,NA,NA,0.681818182,0.798,0.783,0.801,1.5,7,2022,Not Assessed
49,01/02/2022,cdc bottle,1,1,jag,gpr,dw,NA,NA,0.0144,0.00044,2.9216,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,permethrin,NA,NA,1,21,19,NA,NA,21,NA,NA,0.904761905,0.798,0.783,0.801,1.5,2,2022,Not Assessed
50,01/02/2022,cdc bottle,1,1,jag,gpr,dw,NA,NA,0.0144,0.00044,2.9216,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,permethrin,NA,NA,2.5,20,20,NA,NA,20,NA,NA,1,0.798,0.783,0.801,1.5,0,2022,Not Assessed
51,01/02/2022,cdc bottle,1,1,jag,gpr,dw,NA,NA,0.0144,0.00044,2.9216,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,permethrin,NA,NA,5,23,23,NA,NA,23,NA,NA,1,0.798,0.783,0.801,1.5,0,2022,Not Assessed
52,01/02/2022,cdc bottle,1,1,jag,gpr,dw,NA,NA,0.0144,0.00044,2.9216,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,permethrin,NA,NA,7.5,21,21,NA,NA,21,NA,NA,1,0.798,0.783,0.801,1.5,0,2022,Not Assessed
53,01/02/2022,cdc bottle,1,1,jag,gpr,dw,NA,NA,0.0144,0.00044,2.9216,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,permethrin,NA,NA,10,19,19,NA,NA,19,NA,NA,1,0.798,0.783,0.801,1.5,0,2022,Not Assessed
54,01/02/2022,cdc bottle,1,1,jag,gpr,dw,NA,NA,0.0144,0.00044,2.9216,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,permethrin,NA,NA,12.5,21,21,NA,NA,21,NA,NA,1,0.798,0.783,0.801,1.5,0,2022,Not Assessed
55,01/02/2022,cdc bottle,1,1,gpr,jag,jag,NA,NA,NA,NA,NA,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,acetone,NA,NA,negative,1,3,NA,NA,24,NA,NA,0.125,0.798,0.783,0.801,1.5,21,2022,Not Assessed
56,01/02/2022,cdc bottle,1,1,gpr,jag,jag,NA,NA,NA,NA,NA,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,permethrin,NA,NA,0.1,1,1,NA,NA,24,NA,NA,0.041666667,0.798,0.783,0.801,1.5,23,2022,Not Assessed
57,01/02/2022,cdc bottle,1,1,gpr,jag,jag,NA,NA,NA,NA,NA,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,permethrin,NA,NA,0.5,23,14,NA,NA,23,NA,NA,0.608695652,0.798,0.783,0.801,1.5,9,2022,Not Assessed
58,01/02/2022,cdc bottle,1,1,gpr,jag,jag,NA,NA,NA,NA,NA,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,permethrin,NA,NA,1,26,18,NA,NA,26,NA,NA,0.692307692,0.798,0.783,0.801,1.5,8,2022,Not Assessed
59,01/02/2022,cdc bottle,1,1,gpr,jag,jag,NA,NA,NA,NA,NA,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,permethrin,NA,NA,2.5,25,20,NA,NA,25,NA,NA,0.8,0.798,0.783,0.801,1.5,5,2022,Not Assessed
60,01/02/2022,cdc bottle,1,1,gpr,jag,jag,NA,NA,NA,NA,NA,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,permethrin,NA,NA,5,27,27,NA,NA,27,NA,NA,1,0.798,0.783,0.801,1.5,0,2022,Not Assessed
61,01/02/2022,cdc bottle,1,1,gpr,jag,jag,NA,NA,NA,NA,NA,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,permethrin,NA,NA,7.5,24,23,NA,NA,24,NA,NA,0.958333333,0.798,0.783,0.801,1.5,1,2022,Not Assessed
62,01/02/2022,cdc bottle,1,1,gpr,jag,jag,NA,NA,NA,NA,NA,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,permethrin,NA,NA,10,25,25,NA,NA,25,NA,NA,1,0.798,0.783,0.801,1.5,0,2022,Not Assessed
63,01/02/2022,cdc bottle,1,1,gpr,jag,jag,NA,NA,NA,NA,NA,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,permethrin,NA,NA,12.5,25,25,NA,NA,25,NA,NA,1,0.798,0.783,0.801,1.5,0,2022,Not Assessed
64,01/02/2022,cdc bottle,1,1,gpr,gpr,dw,NA,NA,NA,NA,NA,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,acetone,NA,NA,negative,0,3,NA,NA,24,NA,NA,0.125,0.798,0.783,0.801,1.5,21,2022,Not Assessed
65,01/02/2022,cdc bottle,1,1,gpr,gpr,dw,NA,NA,NA,NA,NA,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,permethrin,NA,NA,0.1,1,1,NA,NA,24,NA,NA,0.041666667,0.798,0.783,0.801,1.5,23,2022,Not Assessed
66,01/02/2022,cdc bottle,1,1,gpr,gpr,dw,NA,NA,NA,NA,NA,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,permethrin,NA,NA,0.5,23,14,NA,NA,23,NA,NA,0.608695652,0.798,0.783,0.801,1.5,9,2022,Not Assessed
67,01/02/2022,cdc bottle,1,1,gpr,gpr,dw,NA,NA,NA,NA,NA,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,permethrin,NA,NA,1,26,21,NA,NA,26,NA,NA,0.807692308,0.798,0.783,0.801,1.5,5,2022,Not Assessed
68,01/02/2022,cdc bottle,1,1,gpr,gpr,dw,NA,NA,NA,NA,NA,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,permethrin,NA,NA,2.5,25,19,NA,NA,25,NA,NA,0.76,0.798,0.783,0.801,1.5,6,2022,Not Assessed
69,01/02/2022,cdc bottle,1,1,gpr,gpr,dw,NA,NA,NA,NA,NA,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,permethrin,NA,NA,5,27,27,NA,NA,27,NA,NA,1,0.798,0.783,0.801,1.5,0,2022,Not Assessed
70,01/02/2022,cdc bottle,1,1,gpr,gpr,dw,NA,NA,NA,NA,NA,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,permethrin,NA,NA,7.5,24,24,NA,NA,24,NA,NA,1,0.798,0.783,0.801,1.5,0,2022,Not Assessed
71,01/02/2022,cdc bottle,1,1,gpr,gpr,dw,NA,NA,NA,NA,NA,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,permethrin,NA,NA,10,25,25,NA,NA,25,NA,NA,1,0.798,0.783,0.801,1.5,0,2022,Not Assessed
72,01/02/2022,cdc bottle,1,1,gpr,gpr,dw,NA,NA,NA,NA,NA,26.2,79.8,26.3,78.3,26.3,80.1,NA,NA,NA,NA,kisumu,permethrin,NA,NA,12.5,25,25,NA,NA,25,NA,NA,1,0.798,0.783,0.801,1.5,0,2022,Not Assessed
73,08/02/2022,cdc bottle,1,1,gpr,gpr,gpr,NA,NA,0.023,0.00043,NA,26.2,78.8,26.4,78.3,26,79.2,NA,NA,NA,NA,kisumu,acetone,NA,NA,negative,0,0,NA,NA,28,NA,NA,0,0.788,0.783,0.792,0.5,28,2022,Not Assessed
74,08/02/2022,cdc bottle,1,1,gpr,gpr,gpr,NA,NA,0.023,0.00043,NA,26.2,78.8,26.4,78.3,26,79.2,NA,NA,NA,NA,kisumu,permethrin,NA,NA,0.48,9,4,NA,NA,27,NA,NA,0.148148148,0.788,0.783,0.792,0.5,23,2022,Not Assessed
75,08/02/2022,cdc bottle,1,2,gpr,gpr,gpr,NA,NA,0.023,0.00043,NA,26.2,78.8,26.4,78.3,26,79.2,NA,NA,NA,NA,kisumu,permethrin,NA,NA,0.48,6,1,NA,NA,26,NA,NA,0.038461538,0.788,0.783,0.792,0.5,25,2022,Not Assessed
76,08/02/2022,cdc bottle,1,3,gpr,gpr,gpr,NA,NA,0.023,0.00043,NA,26.2,78.8,26.4,78.3,26,79.2,NA,NA,NA,NA,kisumu,permethrin,NA,NA,0.48,19,3,NA,NA,27,NA,NA,0.111111111,0.788,0.783,0.792,0.5,24,2022,Not Assessed
77,08/02/2022,cdc bottle,1,4,gpr,gpr,gpr,NA,NA,0.023,0.00043,NA,26.2,78.8,26.4,78.3,26,79.2,NA,NA,NA,NA,kisumu,permethrin,NA,NA,0.48,7,3,NA,NA,27,NA,NA,0.111111111,0.788,0.783,0.792,0.5,24,2022,Not Assessed
78,08/02/2022,cdc bottle,1,5,gpr,gpr,gpr,NA,NA,0.023,0.00043,NA,26.2,78.8,26.4,78.3,26,79.2,NA,NA,NA,NA,kisumu,permethrin,NA,NA,0.48,8,2,NA,NA,27,NA,NA,0.074074074,0.788,0.783,0.792,0.5,25,2022,Not Assessed
79,08/02/2022,cdc bottle,1,6,gpr,gpr,gpr,NA,NA,0.023,0.00043,NA,26.2,78.8,26.4,78.3,26,79.2,NA,NA,NA,NA,kisumu,permethrin,NA,NA,0.48,6,1,NA,NA,25,NA,NA,0.04,0.788,0.783,0.792,0.5,24,2022,Not Assessed
80,08/02/2022,cdc bottle,1,7,gpr,gpr,gpr,NA,NA,0.023,0.00043,NA,26.2,78.8,26.4,78.3,26,79.2,NA,NA,NA,NA,kisumu,permethrin,NA,NA,0.48,12,7,NA,NA,29,NA,NA,0.24137931,0.788,0.783,0.792,0.5,22,2022,Not Assessed
81,08/02/2022,cdc bottle,1,8,gpr,gpr,gpr,NA,NA,0.023,0.00043,NA,26.2,78.8,26.4,78.3,26,79.2,NA,NA,NA,NA,kisumu,permethrin,NA,NA,0.48,9,7,NA,NA,29,NA,NA,0.24137931,0.788,0.783,0.792,0.5,22,2022,Not Assessed
82,08/02/2022,cdc bottle,1,1,gpr,jag,jag,NA,NA,0.023,0.00043,NA,26.2,78.8,26.4,78.3,26,79.2,NA,NA,NA,NA,kisumu,acetone,NA,NA,negative,0,0,NA,NA,28,NA,NA,0,0.788,0.783,0.792,0.5,28,2022,Not Assessed
83,08/02/2022,cdc bottle,1,1,gpr,jag,jag,NA,NA,0.023,0.00043,NA,26.2,78.8,26.4,78.3,26,79.2,NA,NA,NA,NA,kisumu,permethrin,NA,NA,0.48,4,4,NA,NA,27,NA,NA,0.148148148,0.788,0.783,0.792,0.5,23,2022,Not Assessed
84,08/02/2022,cdc bottle,1,2,gpr,jag,jag,NA,NA,0.023,0.00043,NA,26.2,78.8,26.4,78.3,26,79.2,NA,NA,NA,NA,kisumu,permethrin,NA,NA,0.48,1,1,NA,NA,26,NA,NA,0.038461538,0.788,0.783,0.792,0.5,25,2022,Not Assessed
85,08/02/2022,cdc bottle,1,3,gpr,jag,jag,NA,NA,0.023,0.00043,NA,26.2,78.8,26.4,78.3,26,79.2,NA,NA,NA,NA,kisumu,permethrin,NA,NA,0.48,7,3,NA,NA,27,NA,NA,0.111111111,0.788,0.783,0.792,0.5,24,2022,Not Assessed
86,08/02/2022,cdc bottle,1,4,gpr,jag,jag,NA,NA,0.023,0.00043,NA,26.2,78.8,26.4,78.3,26,79.2,NA,NA,NA,NA,kisumu,permethrin,NA,NA,0.48,8,3,NA,NA,27,NA,NA,0.111111111,0.788,0.783,0.792,0.5,24,2022,Not Assessed
87,08/02/2022,cdc bottle,1,5,gpr,jag,jag,NA,NA,0.023,0.00043,NA,26.2,78.8,26.4,78.3,26,79.2,NA,NA,NA,NA,kisumu,permethrin,NA,NA,0.48,7,2,NA,NA,27,NA,NA,0.074074074,0.788,0.783,0.792,0.5,25,2022,Not Assessed
